storeId,storeName,postalCode,latitude,longitude
12459,Academy Sports + Outdoors,77840,30.623016,-96.303453
12460,Academy Sports + Outdoors,77063,29.73944873,-95.50371565
12461,Academy Sports + Outdoors,77833,30.15275096,-96.39578727
12463,Academy Sports + Outdoors,77575,30.07475493,-94.78461155
12465,Academy Sports + Outdoors,77630,30.09613493,-93.76463154
12467,Academy Sports + Outdoors,77566,29.05004476,-95.45928156
12471,Academy Sports + Outdoors,77521,29.77517488,-94.98002156
12472,Academy Sports + Outdoors,77437,29.21827479,-96.28769158
12474,Academy Sports + Outdoors,77414,28.98398475,-95.93671572
12476,Academy Sports + Outdoors,77351,30.71266503,-94.95440156
12482,Academy Sports + Outdoors,76450,33.08304542,-98.58351615
12484,Academy Sports + Outdoors,76240,33.64057551,-97.13646159
12487,Academy Sports + Outdoors,75901,31.31279513,-94.72482155
12489,Academy Sports + Outdoors,75935,31.81351521,-94.19648154
12492,Academy Sports + Outdoors,75023,33.05205415,-96.69825158
12494,Academy Sports + Outdoors,75067,33.0055819,-96.9660624
12496,Academy Sports + Outdoors,75093,33.04742541,-96.83146159
12508,Academy Sports + Outdoors,77015,29.76848773,-95.18515595
12512,Academy Sports + Outdoors,75605,32.53865331,-94.75716155
12513,Ace Hardware,75901,31.29705513,-94.72421552
12515,Ace Hardware,76051,32.93047605,-97.09538641
12517,Ace Hardware,76108,32.74053643,-97.45051597
12520,Ace Hardware,76543,31.08754509,-97.7184016
12522,Ace Hardware,76132,32.6813637,-97.41676085
12524,Ace Hardware & Lumber,76137,32.89355389,-97.26058159
12526,Ace Hardware & Lumber of Pilot Point,76180,32.83689538,-97.22091159
12528,Ace Hardware Brenham,77034,29.64064486,-95.24583156
12531,Ace Hardware City,77037,29.9164074,-95.4156313
12533,Ace Hardware Fort Worth,77055,29.78738488,-95.53609157
12539,Ace Hardware Irving,78245,29.44518482,-98.63903162
12540,Ace Hardware Justin,78257,29.6023485,-98.56360161
12541,Ace Hardware Katy,78666,29.8481489,-97.96850161
12547,Ace Hardware Monahans,75090,33.67878552,-96.60485158
12548,Ace Hardware of Bridgeport,78045,27.61688452,-99.46731163
12549,Ace Hardware of Burkburnett,77092,29.81828849,-95.46915642
12551,Ace Hardware of Champions,78251,29.43911085,-98.70916545
12552,Ace Hardware of El Paso,77566,29.04990476,-95.46233156
12559,Ace Hardware of Madisonville,78154,29.57659485,-98.31704161
12564,Ace Hardware of Mineral Wells,78596,26.1750963,-97.98622055
12565,Ace Hardware of Olney,78501,26.19344292,-98.26639161
12566,Ace Hardware of Pampa,76901,31.43423515,-100.5032317
12567,Ace Hardware of Richardson,75069,33.21917544,-96.63298158
12570,Ace Hardware of Zapata,75040,32.9589454,-96.64650158
12575,Ace Hardware Plano,75035,33.11254543,-96.80277159
12577,Ace Hardware Western Auto,75028,33.06985845,-97.08636025
12581,Ace Home Center,78374,27.8929457,-97.30661594
12587,Ace Home Improvement Inc,78230,29.51241484,-98.53781161
12589,Ace of Azle,78217,29.51733484,-98.40967161
12593,Ace of Vernon,77406,29.69909199,-95.80680661
12596,Action Bikes,77340,30.70673608,-95.55898408
13884,AL&M Building Supplies,75002,33.12149555,-96.66382055
13888,Alamo Music Center,78610,30.08249287,-97.82616028
13892,Alamo Music Center,76177,32.96254005,-97.30715943
13932,All About You,76711,31.49885161,-97.15201592
13934,All Seasons Ace Hardware,79407,33.5660255,-101.9474217
14209,All Star Ace Hardware,76308,33.86858555,-98.53280161
14212,Allen Plumbing & Supply,76401,32.2007195,-98.2450044
14243,Als Handy Hardware,75068,33.17690544,-96.88923159
14261,Anderle Lumber Co.,76086,32.73343536,-97.7877016
14269,Apple Lumber,75835,31.29916513,-95.47036156
14277,Apple Lumber,75156,32.3308953,-96.13177158
14410,Apple Lumber,75703,32.24659528,-95.30518156
